"MONTH","DAY_OF_WEEK","DEP_DEL15","DEP_TIME_BLK","DISTANCE_GROUP","SEGMENT_NUMBER","CONCURRENT_FLIGHTS","NUMBER_OF_SEATS","CARRIER_NAME","AIRPORT_FLIGHTS_MONTH","AIRLINE_FLIGHTS_MONTH","AIRLINE_AIRPORT_FLIGHTS_MONTH","AVG_MONTHLY_PASS_AIRPORT","AVG_MONTHLY_PASS_AIRLINE","FLT_ATTENDANTS_PER_PASS","GROUND_SERV_PER_PASS","PLANE_AGE","DEPARTING_AIRPORT","LATITUDE","LONGITUDE","PREVIOUS_AIRPORT","PRCP","SNOW","SNWD","TMAX","AWND"
1,5,0,"1700-1759",8,5,24,160,"Delta Air Lines Inc.",10155,73508,2173,1960746,12460183,0.00014416588498786,0.000148660200942204,18,"Seattle International",47.447,-122.306,"Salt Lake City International",0,0,0,61,7.61
1,3,1,"0700-0759",2,1,49,50,"SkyWest Airlines Inc.",23400,62105,3973,3103410,3472966,3.41926740144364e-05,9.90027880586417e-05,15,"Chicago O'Hare International",41.978,-87.906,"NONE",0.22,1,3.9,34,9.84
1,3,1,"0800-0859",2,1,48,50,"SkyWest Airlines Inc.",23400,62105,3973,3103410,3472966,3.41926740144364e-05,9.90027880586417e-05,5,"Chicago O'Hare International",41.978,-87.906,"NONE",0.22,1,3.9,34,9.84
1,3,1,"0001-0559",5,1,8,172,"American Airlines Inc.",23400,75506,4919,3103410,11744595,9.82082928995461e-05,0.000177287219593097,10,"Chicago O'Hare International",41.978,-87.906,"NONE",0.22,1,3.9,34,9.84
1,3,1,"0800-0859",3,2,48,110,"Delta Air Lines Inc.",23400,73508,808,3103410,12460183,0.00014416588498786,0.000148660200942204,19,"Chicago O'Hare International",41.978,-87.906,"Chicago O'Hare International",0.22,1,3.9,34,9.84
1,3,1,"1800-1859",3,4,75,160,"American Airlines Inc.",23400,75506,4919,3103410,11744595,9.82082928995461e-05,0.000177287219593097,4,"Chicago O'Hare International",41.978,-87.906,"Salt Lake City International",0.22,1,3.9,34,9.84
1,5,0,"1400-1459",4,2,15,160,"American Airlines Inc.",7835,75506,4602,1413432,11744595,9.82082928995461e-05,0.000177287219593097,18,"Miami International",25.792,-80.286,"Tampa International",0,0,0,76,7.38
1,3,0,"1700-1759",5,3,10,76,"Midwest Airline, Inc.",3215,24623,115,401950,1529740,1.25293581928874e-06,0.00012382274422797,2,"San Antonio International",29.533,-98.469,"Stapleton International",0,0,0,58,12.08
1,3,0,"1100-1159",5,3,5,143,"Southwest Airlines Co.",3215,107363,1342,401950,13382999,6.17823630146092e-05,9.88941230999822e-05,14,"San Antonio International",29.533,-98.469,"Nashville International",0,0,0,58,12.08
1,5,0,"1400-1459",4,3,13,150,"JetBlue Airways",8569,23463,2010,1391212,3190369,0.000160038925478751,0.00012686617611397,13,"Fort Lauderdale-Hollywood International",26.074,-80.152,"Newark Liberty International",0,0,0,77,10.07
1,5,0,"1900-1959",5,5,27,143,"Southwest Airlines Co.",8569,107363,2292,1391212,13382999,6.17823630146092e-05,9.88941230999822e-05,9,"Fort Lauderdale-Hollywood International",26.074,-80.152,"Tampa International",0,0,0,77,10.07
1,5,0,"0700-0759",10,1,40,149,"Alaska Airlines Inc.",17725,20315,1638,2780593,2884187,3.23314615661123e-05,0.000174601449726556,13,"Los Angeles International",33.942,-118.408,"NONE",0,0,0,65,6.71
1,5,0,"1300-1359",10,3,33,181,"American Airlines Inc.",17725,75506,3317,2780593,11744595,9.82082928995461e-05,0.000177287219593097,2,"Los Angeles International",33.942,-118.408,"Dallas Fort Worth Regional",0,0,0,65,6.71
1,5,0,"0800-0859",8,1,79,199,"Delta Air Lines Inc.",30842,73508,18809,4365661,12460183,0.00014416588498786,0.000148660200942204,19,"Atlanta Municipal",33.641,-84.427,"NONE",0,0,0,54,6.93
1,5,0,"0900-0959",3,2,84,124,"Delta Air Lines Inc.",30842,73508,18809,4365661,12460183,0.00014416588498786,0.000148660200942204,11,"Atlanta Municipal",33.641,-84.427,"Kanawha",0,0,0,54,6.93
1,5,0,"1400-1459",1,4,63,76,"Endeavor Air Inc.",30842,19857,2974,4365661,1212846,0,9.35127761744562e-05,5,"Atlanta Municipal",33.641,-84.427,"Patrick Henry International",0,0,0,54,6.93
1,5,0,"1400-1459",4,4,63,158,"Delta Air Lines Inc.",30842,73508,18809,4365661,12460183,0.00014416588498786,0.000148660200942204,23,"Atlanta Municipal",33.641,-84.427,"Sarasota/Bradenton Airport",0,0,0,54,6.93
1,5,0,"1900-1959",3,8,80,50,"SkyWest Airlines Inc.",30842,62105,2311,4365661,3472966,3.41926740144364e-05,9.90027880586417e-05,15,"Atlanta Municipal",33.641,-84.427,"Roanoke Regional/Woodrum Field",0,0,0,54,6.93
1,5,1,"1700-1759",4,5,3,76,"SkyWest Airlines Inc.",1380,62105,96,125614,3472966,3.41926740144364e-05,9.90027880586417e-05,2,"Tulsa International",36.198,-95.89,"Salt Lake City International",0.47,0,0,44,15.66
1,3,0,"2100-2159",11,1,9,235,"United Air Lines Inc.",13115,46218,4263,1908862,8501631,0.000253804240621594,0.000228985473493263,19,"San Francisco International",37.619,-122.375,"NONE",0,0,0,60,3.8
1,3,0,"1400-1459",2,5,23,76,"SkyWest Airlines Inc.",13115,62105,3095,1908862,3472966,3.41926740144364e-05,9.90027880586417e-05,5,"San Francisco International",37.619,-122.375,"Los Angeles International",0,0,0,60,3.8
1,3,0,"1800-1859",2,6,17,50,"SkyWest Airlines Inc.",13115,62105,3095,1908862,3472966,3.41926740144364e-05,9.90027880586417e-05,19,"San Francisco International",37.619,-122.375,"Fresno Air Terminal",0,0,0,60,3.8
1,5,0,"1100-1159",11,1,6,226,"Delta Air Lines Inc.",3928,73508,254,719055,12460183,0.00014416588498786,0.000148660200942204,22,"Honolulu International",21.319,-157.922,"NONE",0,0,0,65,6.71
1,5,0,"1300-1359",11,2,9,294,"Hawaiian Airlines Inc.",3928,6791,2793,719055,905990,0.000120494217611269,0.000197849665711328,7,"Honolulu International",21.319,-157.922,"Phoenix Sky Harbor International",0,0,0,65,6.71
1,5,0,"1300-1359",2,4,20,76,"SkyWest Airlines Inc.",9288,62105,3829,1065782,3472966,3.41926740144364e-05,9.90027880586417e-05,3,"Salt Lake City International",40.784,-111.967,"Spokane International",0,0,0,34,3.36
1,5,0,"1600-1659",8,3,43,173,"United Air Lines Inc.",23400,46218,5228,3103410,8501631,0.000253804240621594,0.000228985473493263,8,"Chicago O'Hare International",41.978,-87.906,"Orlando International",0,0,0,30,4.92
1,5,0,"1100-1159",3,3,54,149,"Delta Air Lines Inc.",23400,73508,808,3103410,12460183,0.00014416588498786,0.000148660200942204,27,"Chicago O'Hare International",41.978,-87.906,"Atlanta Municipal",0,0,0,30,4.92
1,5,0,"2200-2259",2,5,26,129,"SkyWest Airlines Inc.",23400,62105,3973,3103410,3472966,3.41926740144364e-05,9.90027880586417e-05,11,"Chicago O'Hare International",41.978,-87.906,"Standiford Field",0,0,0,30,4.92
1,5,1,"1900-1959",1,6,58,50,"American Eagle Airlines Inc.",23400,23760,4691,3103410,1204766,0.000348407665605004,0.000106867151749004,14,"Chicago O'Hare International",41.978,-87.906,"Nashville International",0,0,0,30,4.92
1,5,0,"1000-1059",3,3,12,143,"Southwest Airlines Co.",3932,107363,2463,525035,13382999,6.17823630146092e-05,9.88941230999822e-05,13,"Sacramento International",38.696,-121.59,"McCarran International",0,0,0,56,5.82
1,5,0,"0800-0859",4,2,24,76,"Endeavor Air Inc.",10728,19857,410,1472200,1212846,0,9.35127761744562e-05,4,"Logan International",42.364,-71.006,"Pittsburgh International",0,0,0,30,18.12
1,5,0,"1800-1859",2,6,26,99,"American Airlines Inc.",10728,75506,1974,1472200,11744595,9.82082928995461e-05,0.000177287219593097,12,"Logan International",42.364,-71.006,"Ronald Reagan Washington National",0,0,0,30,18.12
1,3,0,"1000-1059",7,3,19,186,"Frontier Airlines Inc.",6023,9496,101,732595,1857122,0.000115725648276774,7.1346948724339e-06,1,"Nashville International",36.127,-86.682,"Southwest Florida International",0,0,0,64,8.72
1,3,0,"1500-1559",2,5,4,66,"SkyWest Airlines Inc.",1282,62105,413,90611,3472966,3.41926740144364e-05,9.90027880586417e-05,14,"Palm Springs International",33.827,-116.505,"Phoenix Sky Harbor International",0,0,0,70,3.8
1,3,0,"1000-1059",2,2,33,143,"Southwest Airlines Co.",14576,107363,5046,1827202,13382999,6.17823630146092e-05,9.88941230999822e-05,21,"Phoenix Sky Harbor International",33.436,-112.009,"San Diego International Lindbergh Fl",0,0,0,62,2.91
1,3,0,"0700-0759",6,1,12,99,"American Airlines Inc.",4887,75506,977,690385,11744595,9.82082928995461e-05,0.000177287219593097,11,"Austin - Bergstrom International",30.194,-97.67,"NONE",0,0,0,57,12.3
1,5,0,"0600-0659",4,1,29,191,"Delta Air Lines Inc.",11956,73508,4850,1581456,12460183,0.00014416588498786,0.000148660200942204,2,"Minneapolis-St Paul International",44.886,-93.218,"NONE",0,0,0,66,9.17
1,3,0,"1100-1159",3,2,42,50,"SkyWest Airlines Inc.",9288,62105,3829,1065782,3472966,3.41926740144364e-05,9.90027880586417e-05,18,"Salt Lake City International",40.784,-111.967,"Lewiston Nez Perce County",0.01,0.2,3.1,33,8.5
1,5,0,"1000-1059",5,3,39,128,"American Airlines Inc.",11784,75506,448,1486066,11744595,9.82082928995461e-05,0.000177287219593097,14,"Detroit Metro Wayne County",42.217,-83.344,"Douglas Municipal",0,0,0,30,3.8
1,5,0,"1700-1759",5,5,30,178,"Spirit Air Lines",11784,15023,931,1486066,2688839,9.17372392570424e-06,0.000124651073071562,5,"Detroit Metro Wayne County",42.217,-83.344,"Louis Armstrong New Orleans International",0,0,0,30,3.8
1,5,1,"1800-1859",8,3,8,157,"Alaska Airlines Inc.",3215,20315,31,401950,2884187,3.23314615661123e-05,0.000174601449726556,10,"San Antonio International",29.533,-98.469,"Seattle International",0.34,0,0,59,6.26
1,5,0,"0001-0559",4,1,9,175,"Southwest Airlines Co.",8899,107363,668,1297685,13382999,6.17823630146092e-05,9.88941230999822e-05,4,"Philadelphia International",39.868,-75.249,"NONE",0,0,0,34,13.42
1,5,0,"1000-1059",2,3,10,100,"JetBlue Airways",10278,23463,3215,1680928,3190369,0.000160038925478751,0.00012686617611397,13,"John F. Kennedy International",40.639,-73.777,"Greater Buffalo International",0,0,0,32,19.01
1,5,0,"1800-1859",7,4,21,157,"Delta Air Lines Inc.",10278,73508,2527,1680928,12460183,0.00014416588498786,0.000148660200942204,16,"John F. Kennedy International",40.639,-73.777,"Southwest Florida International",0,0,0,32,19.01
1,5,0,"2300-2359",7,2,14,180,"Delta Air Lines Inc.",13056,73508,1174,1903352,12460183,0.00014416588498786,0.000148660200942204,3,"McCarran International",36.08,-115.152,"Minneapolis-St Paul International",0,0,0,60,4.25
1,5,1,"1800-1859",4,3,34,129,"Allegiant Air",13056,6713,645,1903352,1257616,1.32525800619836e-05,0.000107743475903927,11,"McCarran International",36.08,-115.152,"Missoula International",0,0,0,60,4.25
1,5,0,"0700-0759",2,1,21,143,"Southwest Airlines Co.",7380,107363,3250,1023434,13382999,6.17823630146092e-05,9.88941230999822e-05,18,"San Diego International Lindbergh Fl",32.733,-117.187,"NONE",0,0,0,63,4.92
1,5,0,"1100-1159",2,1,37,187,"American Airlines Inc.",14576,75506,4756,1827202,11744595,9.82082928995461e-05,0.000177287219593097,8,"Phoenix Sky Harbor International",33.436,-112.009,"NONE",0,0,0,66,5.82
1,5,0,"2100-2159",2,7,34,143,"Southwest Airlines Co.",14576,107363,5046,1827202,13382999,6.17823630146092e-05,9.88941230999822e-05,12,"Phoenix Sky Harbor International",33.436,-112.009,"San Diego International Lindbergh Fl",0,0,0,66,5.82
1,5,0,"0600-0659",6,1,35,181,"American Airlines Inc.",13375,75506,1742,1208249,11744595,9.82082928995461e-05,0.000177287219593097,2,"LaGuardia",40.779,-73.876,"NONE",0,0,0,32,19.01
1,5,1,"1800-1859",4,1,34,76,"Endeavor Air Inc.",13375,19857,2114,1208249,1212846,0,9.35127761744562e-05,11,"LaGuardia",40.779,-73.876,"NONE",0,0,0,32,19.01
1,5,1,"1100-1159",2,2,34,44,"American Eagle Airlines Inc.",13375,23760,1226,1208249,1204766,0.000348407665605004,0.000106867151749004,17,"LaGuardia",40.779,-73.876,"Cleveland-Hopkins International",0,0,0,32,19.01
1,5,0,"1700-1759",5,3,46,76,"Mesa Airlines Inc.",5091,17869,1701,780326,1191889,0,9.13115711617083e-05,4,"Washington Dulles International",38.942,-77.458,"Minneapolis-St Paul International",0,0,0,36,10.74
1,3,0,"0800-0859",2,2,7,143,"Southwest Airlines Co.",2294,107363,1643,259669,13382999,6.17823630146092e-05,9.88941230999822e-05,18,"Hollywood-Burbank Midpoint",34.2,-118.358,"San Jose International",0,0,3.9,42,8.5
1,3,0,"1200-1259",3,2,43,120,"United Air Lines Inc.",18286,46218,5037,2743323,8501631,0.000253804240621594,0.000228985473493263,13,"Stapleton International",39.774,-104.88,"Sacramento International",0,0,0,41,10.51
1,3,0,"1600-1659",6,4,23,175,"Southwest Airlines Co.",18286,107363,5414,2743323,13382999,6.17823630146092e-05,9.88941230999822e-05,3,"Stapleton International",39.774,-104.88,"Metropolitan Oakland International",0,0,0,41,10.51
1,3,0,"1800-1859",3,5,27,180,"Delta Air Lines Inc.",18286,73508,912,2743323,12460183,0.00014416588498786,0.000148660200942204,3,"Stapleton International",39.774,-104.88,"Atlanta Municipal",0,0,0,41,10.51
1,3,1,"1100-1159",4,3,6,143,"Southwest Airlines Co.",1955,107363,497,204019,13382999,6.17823630146092e-05,9.88941230999822e-05,16,"Eppley Airfield",41.302,-95.893,"Chicago Midway International",0,0,1.2,40,8.95
1,5,0,"1900-1959",1,8,10,66,"SkyWest Airlines Inc.",3689,62105,303,389847,3472966,3.41926740144364e-05,9.90027880586417e-05,14,"Indianapolis Muni/Weir Cook",39.729,-86.282,"Chicago O'Hare International",0,0,0,31,6.71
1,5,0,"0600-0659",2,1,4,76,"Midwest Airline, Inc.",1319,24623,45,103338,1529740,1.25293581928874e-06,0.00012382274422797,5,"McGhee Tyson",35.812,-83.992,"NONE",0,0,0,45,6.71
1,3,0,"0700-0759",7,1,39,132,"Delta Air Lines Inc.",18811,73508,534,2006675,12460183,0.00014416588498786,0.000148660200942204,18,"Douglas Municipal",35.219,-80.936,"NONE",0.1,0,0,62,9.4
1,3,0,"1100-1159",8,2,65,187,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,10,"Douglas Municipal",35.219,-80.936,"San Antonio International",0.1,0,0,62,9.4
1,3,0,"1500-1559",4,4,23,172,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,9,"Douglas Municipal",35.219,-80.936,"Charleston International",0.1,0,0,62,9.4
1,3,0,"1400-1459",2,4,50,128,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,19,"Douglas Municipal",35.219,-80.936,"Pittsburgh International",0.1,0,0,62,9.4
1,3,0,"2200-2259",1,8,67,150,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,20,"Douglas Municipal",35.219,-80.936,"Kansas City International",0.1,0,0,62,9.4
1,3,0,"1500-1559",1,3,35,182,"Spirit Air Lines",17725,15023,677,2780593,2688839,9.17372392570424e-06,0.000124651073071562,2,"Los Angeles International",33.942,-118.408,"McCarran International",0,0,0,65,4.92
1,3,0,"1500-1559",9,4,35,160,"American Airlines Inc.",17725,75506,3317,2780593,11744595,9.82082928995461e-05,0.000177287219593097,8,"Los Angeles International",33.942,-118.408,"Orlando International",0,0,0,65,4.92
1,3,0,"1700-1759",7,5,29,175,"Southwest Airlines Co.",17725,107363,3451,2780593,13382999,6.17823630146092e-05,9.88941230999822e-05,3,"Los Angeles International",33.942,-118.408,"McCarran International",0,0,0,65,4.92
1,4,1,"2200-2259",6,3,5,178,"Spirit Air Lines",8569,15023,1688,1391212,2688839,9.17372392570424e-06,0.000124651073071562,4,"Fort Lauderdale-Hollywood International",26.074,-80.152,"Detroit Metro Wayne County",0.17,0,0,82,11.63
1,4,0,"1100-1159",2,3,37,143,"Southwest Airlines Co.",11956,107363,621,1581456,13382999,6.17823630146092e-05,9.88941230999822e-05,9,"Minneapolis-St Paul International",44.886,-93.218,"Atlanta Municipal",0,0,0,59,2.91
1,4,1,"1900-1959",2,2,13,143,"Southwest Airlines Co.",2641,107363,445,289569,13382999,6.17823630146092e-05,9.88941230999822e-05,13,"Jacksonville International",30.485,-81.688,"Fort Lauderdale-Hollywood International",2.16,0,0,71,13.87
1,4,0,"1300-1359",3,2,10,175,"Southwest Airlines Co.",6023,107363,2994,732595,13382999,6.17823630146092e-05,9.88941230999822e-05,7,"Nashville International",36.127,-86.682,"Los Angeles International",0.61,0,0,69,14.09
1,4,1,"0900-0959",3,2,83,110,"Delta Air Lines Inc.",30842,73508,18809,4365661,12460183,0.00014416588498786,0.000148660200942204,18,"Atlanta Municipal",33.641,-84.427,"Lafayette Regional",0.11,0,0,54,13.42
1,4,0,"1000-1059",3,2,78,110,"Delta Air Lines Inc.",30842,73508,18809,4365661,12460183,0.00014416588498786,0.000148660200942204,20,"Atlanta Municipal",33.641,-84.427,"Bush Field",0.11,0,0,54,13.42
1,4,1,"1900-1959",3,3,82,145,"Spirit Air Lines",30842,15023,684,4365661,2688839,9.17372392570424e-06,0.000124651073071562,14,"Atlanta Municipal",33.641,-84.427,"Fort Lauderdale-Hollywood International",0.11,0,0,54,13.42
1,4,0,"1400-1459",3,3,63,172,"American Airlines Inc.",30842,75506,989,4365661,11744595,9.82082928995461e-05,0.000177287219593097,10,"Atlanta Municipal",33.641,-84.427,"Dallas Fort Worth Regional",0.11,0,0,54,13.42
1,4,0,"1500-1559",2,4,89,129,"Delta Air Lines Inc.",30842,73508,18809,4365661,12460183,0.00014416588498786,0.000148660200942204,11,"Atlanta Municipal",33.641,-84.427,"Pensacola Regional",0.11,0,0,54,13.42
1,4,0,"1600-1659",1,5,72,149,"Delta Air Lines Inc.",30842,73508,18809,4365661,12460183,0.00014416588498786,0.000148660200942204,31,"Atlanta Municipal",33.641,-84.427,"Melbourne Regional",0.11,0,0,54,13.42
1,4,0,"2100-2159",2,5,91,180,"Delta Air Lines Inc.",30842,73508,18809,4365661,12460183,0.00014416588498786,0.000148660200942204,4,"Atlanta Municipal",33.641,-84.427,"Stapleton International",0.11,0,0,54,13.42
1,4,1,"2100-2159",2,1,12,50,"Endeavor Air Inc.",10278,19857,1481,1680928,1212846,0,9.35127761744562e-05,16,"John F. Kennedy International",40.639,-73.777,"NONE",1.48,0,0,57,16.78
1,4,0,"0900-0959",1,2,14,110,"Delta Air Lines Inc.",11784,73508,4190,1486066,12460183,0.00014416588498786,0.000148660200942204,18,"Detroit Metro Wayne County",42.217,-83.344,"Theodore Francis Green State",0,0.1,1.2,31,13.65
1,4,0,"0800-0859",1,2,51,76,"Endeavor Air Inc.",11784,19857,1415,1486066,1212846,0,9.35127761744562e-05,4,"Detroit Metro Wayne County",42.217,-83.344,"Indianapolis Muni/Weir Cook",0,0.1,1.2,31,13.65
1,4,0,"2000-2059",8,3,57,199,"Delta Air Lines Inc.",11784,73508,4190,1486066,12460183,0.00014416588498786,0.000148660200942204,19,"Detroit Metro Wayne County",42.217,-83.344,"Orange County",0,0.1,1.2,31,13.65
1,4,1,"2000-2059",3,4,57,191,"Delta Air Lines Inc.",11784,73508,4190,1486066,12460183,0.00014416588498786,0.000148660200942204,3,"Detroit Metro Wayne County",42.217,-83.344,"Fort Lauderdale-Hollywood International",0,0.1,1.2,31,13.65
1,4,0,"1400-1459",1,4,17,50,"SkyWest Airlines Inc.",11784,62105,2857,1486066,3472966,3.41926740144364e-05,9.90027880586417e-05,16,"Detroit Metro Wayne County",42.217,-83.344,"Erie International",0,0.1,1.2,31,13.65
1,4,0,"0900-0959",5,1,28,150,"JetBlue Airways",10728,23463,4013,1472200,3190369,0.000160038925478751,0.00012686617611397,13,"Logan International",42.364,-71.006,"NONE",1,0,0,59,23.71
1,4,0,"0700-0759",5,1,14,110,"Delta Air Lines Inc.",4887,73508,578,690385,12460183,0.00014416588498786,0.000148660200942204,17,"Austin - Bergstrom International",30.194,-97.67,"NONE",0,0,0,64,5.82
1,4,0,"2200-2259",3,4,64,187,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,18,"Douglas Municipal",35.219,-80.936,"Puerto Rico International",1.24,0,0,62,13.87
1,4,0,"1100-1159",2,4,66,90,"Comair Inc.",18811,22418,7248,2006675,1245396,0,8.99981056904297e-05,3,"Douglas Municipal",35.219,-80.936,"Charleston International",1.24,0,0,62,13.87
1,4,0,"0001-0559",3,1,5,90,"Comair Inc.",5092,22418,229,642980,1245396,0,8.99981056904297e-05,4,"Lambert-St. Louis International",38.747,-90.364,"NONE",0,0,0,30,12.53
1,4,0,"1200-1259",4,3,10,143,"Southwest Airlines Co.",5092,107363,3003,642980,13382999,6.17823630146092e-05,9.88941230999822e-05,13,"Lambert-St. Louis International",38.747,-90.364,"Logan International",0,0,0,30,12.53
1,4,0,"0800-0859",5,1,6,160,"American Airlines Inc.",3710,75506,518,404840,11744595,9.82082928995461e-05,0.000177287219593097,6,"Southwest Florida International",26.536,-81.755,"NONE",0.8,0,0,74,8.95
1,3,0,"1000-1059",3,2,72,79,"Mesa Airlines Inc.",22775,17869,3251,2907365,1191889,0,9.13115711617083e-05,14,"Dallas Fort Worth Regional",32.894,-97.03,"Bismarck Municipal",0,0,0,48,13.42
1,4,0,"0600-0659",2,1,13,180,"Delta Air Lines Inc.",4544,73508,638,564680,12460183,0.00014416588498786,0.000148660200942204,4,"Louis Armstrong New Orleans International",29.991,-90.251,"NONE",0,0,0,53,9.84
1,5,0,"0600-0659",2,1,11,76,"Midwest Airline, Inc.",2641,24623,285,289569,1529740,1.25293581928874e-06,0.00012382274422797,4,"Jacksonville International",30.485,-81.688,"NONE",0,0,0,62,7.38
1,5,0,"1900-1959",2,4,13,100,"JetBlue Airways",2641,23463,308,289569,3190369,0.000160038925478751,0.00012686617611397,8,"Jacksonville International",30.485,-81.688,"Fort Lauderdale-Hollywood International",0,0,0,62,7.38
1,5,0,"1400-1459",2,5,12,76,"Midwest Airline, Inc.",6023,24623,361,732595,1529740,1.25293581928874e-06,0.00012382274422797,12,"Nashville International",36.127,-86.682,"Philadelphia International",0,0,0,47,4.92
1,5,1,"1800-1859",2,1,43,150,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,19,"Douglas Municipal",35.219,-80.936,"NONE",0,0,0,47,5.37
1,5,0,"1100-1159",3,2,66,128,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,19,"Douglas Municipal",35.219,-80.936,"Atlanta Municipal",0,0,0,47,5.37
1,5,0,"1300-1359",3,3,50,160,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,4,"Douglas Municipal",35.219,-80.936,"Miami International",0,0,0,47,5.37
1,5,1,"1400-1459",3,4,48,128,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,20,"Douglas Municipal",35.219,-80.936,"Tampa International",0,0,0,47,5.37
1,5,0,"2200-2259",2,6,66,160,"American Airlines Inc.",18811,75506,8156,2006675,11744595,9.82082928995461e-05,0.000177287219593097,5,"Douglas Municipal",35.219,-80.936,"Southwest Florida International",0,0,0,47,5.37
1,3,0,"0800-0859",3,2,29,69,"Midwest Airline, Inc.",11956,24623,445,1581456,1529740,1.25293581928874e-06,0.00012382274422797,15,"Minneapolis-St Paul International",44.886,-93.218,"Cleveland-Hopkins International",1.54,0,0,68,12.97
1,3,1,"1300-1359",1,4,26,50,"SkyWest Airlines Inc.",11956,62105,3519,1581456,3472966,3.41926740144364e-05,9.90027880586417e-05,14,"Minneapolis-St Paul International",44.886,-93.218,"Truax Field",1.54,0,0,68,12.97
1,3,0,"1300-1359",2,4,26,66,"SkyWest Airlines Inc.",11956,62105,3519,1581456,3472966,3.41926740144364e-05,9.90027880586417e-05,17,"Minneapolis-St Paul International",44.886,-93.218,"Eppley Airfield",1.54,0,0,68,12.97
1,3,0,"1100-1159",7,4,36,180,"Delta Air Lines Inc.",11956,73508,4850,1581456,12460183,0.00014416588498786,0.000148660200942204,1,"Minneapolis-St Paul International",44.886,-93.218,"General Mitchell Field",1.54,0,0,68,12.97
1,4,1,"0600-0659",4,1,30,169,"United Air Lines Inc.",11861,46218,1004,1823051,8501631,0.000253804240621594,0.000228985473493263,25,"Orlando International",28.432,-81.325,"NONE",0.76,0,0,76,13.65
